"test"," time-1461115964"," time-1461161168"," time-1461161168","range"
"Tests/Unit/neg/TopLevel.hs"," 0.6752"," 0.7244"," 0.7576","0"
"Tests/Unit/neg/Variance.hs"," 0.6991"," 0.7122"," 0.7535","0"
"Tests/Unit/neg/Variance1.hs"," 0.7012"," 0.6895"," 0.7672","0"
"Tests/Unit/neg/alias00.hs"," 0.7886"," 0.6807"," 0.6874","0"
"Tests/Unit/neg/ass0.hs"," 0.8010"," 0.6776"," 0.6730","0"
"Tests/Unit/neg/concat.hs"," 1.0897"," 0.9302"," 0.8486","0"
"Tests/Unit/neg/concat1.hs"," 1.2639"," 1.1237"," 0.9446","0"
"Tests/Unit/neg/concat2.hs"," 1.2519"," 1.0525"," 0.9585","0"
"Tests/Unit/neg/contra0.hs"," 0.8265"," 0.7659"," 0.7570","0"
"Tests/Unit/neg/coretologic.hs"," 0.8082"," 0.7152"," 0.6952","0"
"Tests/Unit/neg/datacon-eq.hs"," 0.7966"," 0.6705"," 0.6476","0"
"Tests/Unit/neg/deppair0.hs"," 0.8731"," 0.7623"," 0.8037","0"
"Tests/Unit/neg/deptupW.hs"," 0.9290"," 0.7771"," 0.7525","0"
"Tests/Unit/neg/elim000.hs"," 0.8081"," 0.6884"," 0.6934","0"
"Tests/Unit/neg/errmsg.hs"," 0.7887"," 0.7319"," 0.7264","0"
"Tests/Unit/neg/errorloc.hs"," 0.7941"," 0.7159"," 0.6939","0"
"Tests/Unit/neg/ex0-unsafe.hs"," 0.7747"," 0.7850"," 0.7376","0"
"Tests/Unit/neg/ex1-unsafe.hs"," 0.8685"," 0.7633"," 0.7522","0"
"Tests/Unit/neg/filterAbs.hs"," 0.8498"," 0.8878"," 0.8391","0"
"Tests/Unit/neg/foldN.hs"," 0.6954"," 0.7291"," 0.6986","0"
"Tests/Unit/neg/foldN1.hs"," 0.7067"," 0.7187"," 0.6911","0"
"Tests/Unit/neg/grty0.hs"," 0.6756"," 0.6993"," 0.6717","0"
"Tests/Unit/neg/grty1.hs"," 0.7791"," 0.8440"," 0.7284","0"
"Tests/Unit/neg/grty2.hs"," 0.7660"," 0.8398"," 0.7824","0"
"Tests/Unit/neg/grty3.hs"," 0.6581"," 0.6924"," 0.6852","0"
"Tests/Unit/neg/inc2.hs"," 0.6781"," 0.6767"," 0.6596","0"
"Tests/Unit/neg/list00.hs"," 0.7151"," 0.7369"," 0.7182","0"
"Tests/Unit/neg/listne.hs"," 0.6415"," 0.6803"," 0.6546","0"
"Tests/Unit/neg/lit.hs"," 0.6471"," 0.6666"," 0.6861","0"
"Tests/Unit/neg/mapreduce-tiny.hs"," 0.7554"," 0.7753"," 0.7924","0"
"Tests/Unit/neg/mapreduce.hs"," 1.8294"," 1.7726"," 1.9532","0"
"Tests/Unit/neg/maps.hs"," 0.7473"," 0.7724"," 0.7455","0"
"Tests/Unit/neg/meas0.hs"," 0.7131"," 0.7292"," 0.7134","0"
"Tests/Unit/neg/meas2.hs"," 0.7097"," 0.7329"," 0.7081","0"
"Tests/Unit/neg/meas3.hs"," 0.7009"," 0.7382"," 0.7302","0"
"Tests/Unit/neg/meas5.hs"," 1.1859"," 1.2038"," 1.1091","0"
"Tests/Unit/neg/meas7.hs"," 0.6751"," 0.6989"," 0.7237","0"
"Tests/Unit/neg/meas9.hs"," 0.6959"," 0.7248"," 0.7318","0"
"Tests/Unit/neg/monad3.hs"," 0.7809"," 0.8192"," 0.8896","0"
"Tests/Unit/neg/monad4.hs"," 0.7770"," 0.8037"," 0.9228","0"
"Tests/Unit/neg/monad5.hs"," 0.7742"," 0.7747"," 0.8917","0"
"Tests/Unit/neg/monad6.hs"," 0.7137"," 0.7490"," 0.9886","0"
"Tests/Unit/neg/monad7.hs"," 0.8580"," 0.9151"," 1.0216","0"
"Tests/Unit/neg/mr00.hs"," 0.7978"," 0.8350"," 0.9787","0"
"Tests/Unit/neg/multi-pred-app-00.hs"," 0.6485"," 0.6919"," 0.7699","0"
"Tests/Unit/neg/nestedRecursion.hs"," 0.6920"," 0.6862"," 0.8147","0"
"Tests/Unit/neg/pair.hs"," 1.4655"," 1.4050"," 1.5430","0"
"Tests/Unit/neg/pair0.hs"," 1.3685"," 1.3326"," 1.3894","0"
"Tests/Unit/neg/pargs.hs"," 0.6389"," 0.6665"," 0.7729","0"
"Tests/Unit/neg/pargs1.hs"," 0.6709"," 0.6777"," 0.7602","0"
"Tests/Unit/neg/partial.hs"," 0.6867"," 0.6974"," 0.8030","0"
"Tests/Unit/neg/poly0.hs"," 0.7163"," 0.7694"," 0.8400","0"
"Tests/Unit/neg/poly1.hs"," 0.7317"," 0.7434"," 0.8007","0"
"Tests/Unit/neg/poly2-degenerate.hs"," 0.7452"," 0.7343"," 0.7842","0"
"Tests/Unit/neg/poly2.hs"," 0.7073"," 0.7456"," 0.7702","0"
"Tests/Unit/neg/polypred.hs"," 0.6934"," 0.7119"," 0.7798","0"
"Tests/Unit/neg/poslist.hs"," 0.9230"," 0.9263"," 0.9086","0"
"Tests/Unit/neg/pragma0-unsafe.hs"," 0.6433"," 0.6665"," 0.7242","0"
"Tests/Unit/neg/pred.hs"," 0.6167"," 0.6163"," 0.6306","0"
"Tests/Unit/neg/prune0.hs"," 0.6980"," 0.7347"," 0.7831","0"
"Tests/Unit/neg/qsloop.hs"," 0.8174"," 0.8564"," 0.9241","0"
"Tests/Unit/neg/range.hs"," 1.1302"," 1.1529"," 1.1051","0"
"Tests/Unit/neg/record0.hs"," 0.6447"," 0.6991"," 0.7421","0"
